# model = krumsiek11.txt 
# tmax = 160
# branching = True
# nrRealizations = 10
# noiseObs = 100.0
# noiseDyn = 0.001
# seed = 0
# it   Gata2   Gata1    Fog1    EKLF    Fli1     SCL   Cebpa    Pu.1    cJun  EgrNab    Gfi1 
   0 63.8952 12.8816 110.4231 196.7579 23.4722 242.1551 19.3071 -3.4613 35.2306 77.8778 42.8936
   1 19.3519 -90.5719 22.0525 -1.8572 -10.5035 -91.1727  0.5699 -38.7889 54.3905 33.7970 -25.0401
   2 63.6649 119.4693 -43.1221 -118.4559 -11.1343 -214.1472 -74.4507 -23.4219 -66.6549  6.9239 45.3079
   3 -22.7456 -33.6925 -49.5084 -49.8778 -18.6721 24.4959 -76.6786 -22.4612 -37.6356 152.2365 152.1737
   4 -224.0740 -19.3610 -37.3038 -63.7774 -41.9857 -5.1349  7.4673 11.3818 21.5009 -25.1321 25.1754
   5 -138.4716 -110.9513 108.1287 79.3735 -80.1913 22.5231 28.3132 -47.8630 -74.2304 -49.6448 -114.2594
   6 119.9588 40.5596 -42.6131 -35.0244 -21.0847 155.4846  3.2752 -91.1760 32.5847 -67.0181 143.8189
   7 79.8475 106.3115 125.5490 -325.2067 25.2313 -69.7072 111.8399 49.8521 62.8551 197.5253 -38.9558
   8 -6.6686 -51.7888 82.4508 -70.0496 -212.9590 -157.9901 28.3043 80.7775 -0.0705 23.7540 -139.5985
   9 -1.6501 46.6080 -13.5604  0.6442 39.3419 -21.6294 -103.2212 -237.8746 150.8268 -60.9059 27.1944
  10 -250.0671 14.8712 -30.4019 45.3431  3.2827 -35.9116 87.1433 148.1571 -117.4551 224.3800 -170.5223
  11 168.5860 89.8466 42.8088 -139.5464 -73.8492 94.6585 175.8650 -19.6353 68.3623 -281.2531 -66.6396
  12 -3.5000 -57.3001 -24.5380 -13.8273 160.5272 144.8266 -50.5924 -97.5575 177.4497 -5.1980 -111.2014
  13 -33.8304 -130.1631 -35.6858 60.6231 -46.4957 -6.5804 27.9640  7.9673 -52.9967 -31.0712 -111.4213
  14 -222.7857 48.9190 -59.2546 -111.7392 -167.3980 -105.5239 -99.2982 -177.9791 -158.6444 186.1825 13.6215
  15 46.6737 50.4952 -103.5033 37.7523 42.7760 -99.5767 -137.5870 77.3927 -53.6027 -154.2852 84.5663
  16 -4.0869 -117.5706 115.9583 -32.9727 152.6915 175.4525 101.3073  0.9619 -204.7279 -11.5765  5.8937
  17 52.4895 54.0399 -6.6794 47.2871 -281.2128 -12.6433 136.5776  4.6801 111.1903 150.3898 141.8354
  18 63.7262 -51.8172 30.7866 83.7663 53.5248 11.1243 109.8424 -84.3791 71.2832 -47.0127 67.6546
  19 -153.9935 124.7088 112.9863 -18.9542 -85.7925 122.3295 -29.7015 66.3142 78.5227 67.7109 39.0084
  20 -221.2006 220.1689 -71.6988 42.0111 23.4319 86.7038 19.0240  2.0517 20.2526 74.7448 -129.5524
  21 84.6888 130.7099 -78.2761 -80.2467 17.7382 46.3677 -60.3923 -48.9253 -124.2545 -92.5547 51.4615
  22 168.8455 28.7152 -76.0558 109.9504 -86.2831 -114.8995 -2.5648 21.5191 -130.9277 -80.6580 -147.8518
  23 28.4638 144.4765 36.8732 73.9755 53.2089 214.4104 39.7578 166.8113 86.8251 -67.1528 60.2339
  24 47.1962 73.3636 -13.6339 145.7208 -84.1537 -165.8266 125.7838 72.9706 -106.3986 -20.8032 83.7821
  25 -27.6830 -51.1069 -155.8738 -166.6100 -84.5252 30.2861 -36.1527 -38.0867 16.9504  2.5499 112.3225
  26 -28.7086 88.8318 -32.6018 -49.5120  7.1440 -28.7511 29.9888 -72.6373 -21.2865 -61.2379 -65.6576
  27 -22.5942 101.9883 -130.2228 -70.2428 17.8954 85.2342 -109.7389 -56.4872 18.4178 -59.2061 -81.2234
  28 -56.0804 -93.2089 224.7457 25.2728 -116.2793 123.9521 107.9007 12.8729 -166.1838 56.7760 -21.4366
  29 268.2261 -71.2618  8.9337  0.5880 -10.9341 -161.2003 183.8760 -42.6489 -58.9403 162.6551 -246.7691
  30 191.8984 -3.2546 159.0200 96.6108 53.2367 -108.5095 143.4907 -267.6385 -170.4218 -7.1209 54.3670
  31 -77.9583 64.7184 188.0586 -97.0191 -68.9328 -49.3158 249.7132 -44.0491 121.0137 159.5964 -95.7142
  32 -131.4080 -125.0630 -49.5889 -20.2448 -143.3659 -63.1837  1.7555 147.6141 -57.2119  0.5105 46.0019
  33 72.3237 -136.9172 -61.4916 44.9213 52.7014 -91.0849 -135.8009 -135.6360 -168.8898 -24.1267 123.7835
  34 22.1154 -155.3616 -70.4612  8.3534 72.7433 -69.0484 -119.8897 -88.3206  0.8369 -20.0431 168.2564
  35 25.4393 104.4036 -66.1219 101.3834 -33.7539 166.7032 -0.7045 175.3152 18.4411 74.6286 -34.4983
  36 15.7757 -52.3341 24.6752 -117.3987 -104.4265 -13.1552 122.8490 63.9668 -7.2759 77.7510 -72.4633
  37 47.1008 -107.1792 71.4987 -72.0905 96.6216 10.5520 -70.8715 116.8378 19.5814 -39.4936 -263.4133
  38  8.6506 51.4547 -98.1353 172.5246 -78.6986 114.1613 -40.0287 129.9472 31.4998 -145.9447 133.5567
  39 122.4129 -44.5465 136.2143 72.5176 41.8456 54.4658 139.2354 -37.6968 41.7577 -18.9128 24.4205
  40 -8.6043 -9.8257 -50.6367 301.3830 206.7746 -49.0137 -137.2325 95.7226 73.3635 -112.7402 76.9109
  41 -125.3336 152.5383 -144.9107 38.7288 65.4871 28.9379 -48.1559 -18.4425  8.4805 70.3548  5.8181
  42 107.0206 -4.9370 38.6691 56.3760 -38.2634 -84.6358 122.6921 -40.4495 57.6348 -102.5254 22.4171
  43 -120.8903 65.3275 -70.4295 57.2762  3.7984 162.5741 19.3094 185.7203 211.5847 114.8411 40.6565
  44 -145.6678 -89.4509 -105.4599 -156.1366 -0.5291 -150.1368 90.1782 66.0779 -8.8269 -15.1412 -2.7523
  45 48.1980 -43.0178 100.1622 -40.3893 -153.5348 -84.3471 -20.3886 100.4892 -109.9398 -66.9901 58.1255
  46 12.3680 -122.3402 -67.0863 -33.8626 -20.8798 68.7289 -124.3061 -64.0970 165.2736 -69.1283 158.7995
  47 -71.1565 -60.7292 151.4833 -154.8503 131.4017 -28.4640 28.6525  8.5301 -45.3355 79.7173 -97.1415
  48 217.2309 147.5836 201.9474 -88.7188 115.5657 190.4784 -161.8844 -133.3905 -5.0490 -55.1553 31.0020
