# model = krumsiek11.txt 
# tmax = 160
# branching = True
# nrRealizations = 10
# noiseObs = 0.046415888336127774
# noiseDyn = 0.001
# seed = 0
# it   Gata2   Gata1    Fog1    EKLF    Fli1     SCL   Cebpa    Pu.1    cJun  EgrNab    Gfi1 
   0  0.8325  0.0055  0.0512  0.0917  0.0122  0.1135  0.8083  0.7998  0.0169  0.0371  0.0201
   1  0.7325 -0.0405  0.0099 -0.0018 -0.0037 -0.0402  0.8194  0.7072  0.1036  0.0234  0.0824
   2  0.6870  0.0567 -0.0210 -0.0577 -0.0027 -0.0983  0.8009  0.6512  0.0795  0.0271  0.1706
   3  0.5863 -0.0118 -0.0239 -0.0296 -0.0080  0.0077  0.8175  0.5885  0.1095  0.1018  0.2407
   4  0.4354 -0.0019 -0.0203 -0.0359 -0.0184 -0.0094  0.8686  0.5520  0.1484  0.0263  0.1868
   5  0.4252 -0.0405  0.0479  0.0307 -0.0359  0.0071  0.8886  0.4773  0.1151  0.0228  0.1216
   6  0.5004  0.0341 -0.0218 -0.0252 -0.0095  0.0665  0.8865  0.4090  0.1720  0.0178  0.2394
   7  0.4447  0.0625  0.0569 -0.1630  0.0093 -0.0400  0.9501  0.4325  0.1957  0.1472  0.1479
   8  0.3687 -0.0085  0.0404 -0.0430 -0.0995 -0.0799  0.9189  0.4115  0.1730  0.0741  0.0974
   9  0.3415  0.0391 -0.0036 -0.0080  0.0138 -0.0118  0.8652  0.2327  0.2480  0.0415  0.1690
  10  0.1981  0.0248 -0.0143  0.0110 -0.0027 -0.0206  0.9591  0.3862  0.1345  0.1826  0.0681
  11  0.3682  0.0632  0.0192 -0.0717 -0.0376  0.0421  1.0092  0.2841  0.2304 -0.0461  0.1061
  12  0.2657 -0.0011 -0.0134 -0.0138  0.0715  0.0659  0.9134  0.2295  0.2926  0.0917  0.0784
  13  0.2360 -0.0321 -0.0176  0.0252 -0.0253 -0.0052  0.9550  0.2636  0.1964  0.0876  0.0675
  14  0.1318  0.0598 -0.0266 -0.0536 -0.0795 -0.0489  0.9027  0.1612  0.1598  0.1978  0.1152
  15  0.2425  0.0647 -0.0471  0.0147  0.0218 -0.0437  0.8860  0.2711  0.2223  0.0502  0.1410
  16  0.2057 -0.0123  0.0541 -0.0169  0.0756  0.0872  0.9993  0.2251  0.1693  0.1335  0.0942
  17  0.2228  0.0715 -0.0036  0.0231 -0.1280  0.0022  1.0181  0.2208  0.3381  0.2269  0.1504
  18  0.2208  0.0290  0.0163  0.0424  0.0271  0.0194  1.0079  0.1724  0.3433  0.1537  0.1075
  19  0.1102  0.1192  0.0561 -0.0025 -0.0380  0.0747  0.9437  0.2341  0.3694  0.2313  0.0903
  20  0.0707  0.1687 -0.0264  0.0261  0.0161  0.0620  0.9669  0.2059  0.3597  0.2573  0.0071
  21  0.2112  0.1322 -0.0311 -0.0260  0.0148  0.0475  0.9301  0.1797  0.3164  0.2002  0.0805
  22  0.2421  0.0895 -0.0269  0.0687 -0.0304 -0.0245  0.9638  0.2080  0.3361  0.2350 -0.0195
  23  0.1687  0.1497  0.0261  0.0494  0.0372  0.1369  0.9841  0.2747  0.4609  0.2652  0.0740
  24  0.1733  0.1172  0.0054  0.0845 -0.0290 -0.0385  1.0303  0.2274  0.3954  0.3138  0.0784
  25  0.1346  0.0583 -0.0600 -0.0600 -0.0242  0.0570  0.9585  0.1720  0.4773  0.3513  0.0868
  26  0.1346  0.1254 -0.0015 -0.0044  0.0166  0.0335  0.9885  0.1562  0.4852  0.3487 -0.0008
  27  0.1335  0.1343 -0.0503 -0.0142  0.0235  0.0939  0.9220  0.1630  0.5248  0.3760 -0.0113
  28  0.1202  0.0459  0.1133  0.0348 -0.0384  0.1126  1.0256  0.1964  0.4546  0.4585  0.0103
  29  0.2658  0.0588  0.0127  0.0257  0.0143 -0.0155  1.0644  0.1688  0.5258  0.5334 -0.0947
  30  0.2305  0.0904  0.0806  0.0721  0.0465  0.0125  1.0514  0.0648  0.4886  0.4790  0.0476
  31  0.1022  0.1252  0.0944 -0.0145 -0.0111  0.0458  1.1021  0.1699  0.6415  0.5763 -0.0231
  32  0.0775  0.0412 -0.0155  0.0171 -0.0398  0.0436  0.9882  0.2601  0.5763  0.5224  0.0412
  33  0.1672  0.0375 -0.0225  0.0445  0.0486  0.0327  0.9262  0.1255  0.5403  0.5288  0.0752
  34  0.1420  0.0288 -0.0281  0.0316  0.0604  0.0472  0.9364  0.1481  0.6340  0.5450  0.0954
