# model = krumsiek11.txt 
# tmax = 160
# branching = True
# nrRealizations = 10
# noiseObs = 0.002154434690031882
# noiseDyn = 0.001
# seed = 0
# it   Gata2   Gata1    Fog1    EKLF    Fli1     SCL   Cebpa    Pu.1    cJun  EgrNab    Gfi1 
   0  0.8046 -0.0002  0.0023  0.0046  0.0018  0.0063  0.8001  0.8016  0.0013  0.0026  0.0011
   1  0.7243 -0.0004  0.0002 -0.0010  0.0009  0.0002  0.8195  0.7247  0.0796  0.0084  0.0935
   2  0.6591  0.0039 -0.0019 -0.0052  0.0022 -0.0035  0.8342  0.6618  0.1090  0.0240  0.1506
   3  0.5967  0.0031 -0.0020 -0.0075  0.0003 -0.0031  0.8518  0.5987  0.1263  0.0344  0.1735
   4  0.5348  0.0067 -0.0037 -0.0077  0.0002 -0.0071  0.8657  0.5472  0.1389  0.0374  0.1757
   5  0.4867  0.0086  0.0000 -0.0044 -0.0004 -0.0029  0.8765  0.4987  0.1480  0.0448  0.1722
   6  0.4475  0.0162 -0.0029 -0.0097 -0.0001 -0.0023  0.8854  0.4496  0.1576  0.0474  0.1758
   7  0.4096  0.0154  0.0014 -0.0191 -0.0018 -0.0091  0.9010  0.4106  0.1679  0.0598  0.1652
   8  0.3718  0.0144  0.0039 -0.0120 -0.0053 -0.0100  0.9067  0.3759  0.1731  0.0636  0.1593
   9  0.3424  0.0185  0.0024 -0.0083 -0.0037 -0.0022  0.9112  0.3381  0.1813  0.0685  0.1571
  10  0.3089  0.0182 -0.0008 -0.0091 -0.0041 -0.0047  0.9210  0.3207  0.1866  0.0833  0.1436
  11  0.2937  0.0235  0.0002 -0.0099 -0.0049  0.0002  0.9318  0.2930  0.2003  0.0784  0.1356
  12  0.2674  0.0242 -0.0026 -0.0077  0.0004  0.0018  0.9362  0.2728  0.2142  0.0941  0.1277
  13  0.2511  0.0256 -0.0018 -0.0016 -0.0047 -0.0023  0.9430  0.2601  0.2200  0.1014  0.1169
  14  0.2305  0.0382 -0.0004 -0.0041 -0.0054 -0.0022  0.9471  0.2401  0.2302  0.1154  0.1092
  15  0.2220  0.0424 -0.0013 -0.0020  0.0029  0.0003  0.9473  0.2369  0.2462  0.1186  0.1036
  16  0.2076  0.0398  0.0028 -0.0023  0.0080  0.0095  0.9549  0.2248  0.2601  0.1386  0.0917
  17  0.1997  0.0476 -0.0006  0.0022 -0.0036  0.0078  0.9581  0.2188  0.2890  0.1604  0.0877
  18  0.1927  0.0520  0.0027  0.0053  0.0034  0.0145  0.9597  0.2098  0.3118  0.1746  0.0776
