# model = krumsiek11.txt 
# tmax = 160
# branching = True
# nrRealizations = 10
# noiseObs = 21.54434690031882
# noiseDyn = 0.001
# seed = 0
# it   Gata2   Gata1    Fog1    EKLF    Fli1     SCL   Cebpa    Pu.1    cJun  EgrNab    Gfi1 
   0 14.3960  2.7749 23.7899 42.3905  5.0580 52.1716  4.7870 -0.1167  7.5906 16.7790  9.2413
   1  4.7371 -19.5119  4.7508 -0.4009 -2.2620 -19.6409  0.7657 -7.7876 11.7796  7.2874 -5.3209
   2 14.2323 25.7399 -9.2912 -25.5227 -2.3969 -46.1357 -15.3842 -4.5265 -14.2737  1.5104  9.8787
   3 -4.4319 -7.2559 -10.6670 -10.7509 -4.0222  5.2746 -15.8503 -4.3690 -8.0087 32.8228 32.9183
   4 -47.8519 -4.1656 -8.0392 -13.7454 -9.0447 -1.1118  2.2879  2.8813  4.7409 -5.3848  5.5613
   5 -29.4486 -23.8951 23.2938 17.0957 -17.2756  4.8498  6.7871 -9.9197 -15.8751 -10.6597 -24.4794
   6 26.1934  8.7503 -9.1823 -7.5528 -4.5423 33.4937  1.4002 -19.2890  7.1433 -14.4003 31.1203
   7 17.5226 22.9144 27.0477 -70.0732  5.4341 -15.0240 24.8002 11.0616 13.6724 42.5991 -8.2625
   8 -1.1449 -11.1454 17.7651 -15.1000 -45.8811 -34.0431  6.8089 17.6966  0.1206  5.1671 -29.9483
   9 -0.0869 10.0551 -2.9194  0.1322  8.4724 -4.6613 -21.5216 -50.9792 32.6344 -13.0670  5.9816
  10 -53.6288  3.2179 -6.5500  9.7610  0.7040 -7.7400 19.4956 32.1686 -25.1566 48.4028 -36.6224
  11 36.5483 19.3738  9.2223 -30.0698 -15.9130 20.3921 38.6171 -4.0001 14.8842 -60.5279 -14.2495
  12 -0.5442 -12.3249 -5.2882 -2.9848 34.5822 31.2009 -10.1645 -20.8025 38.3954 -1.0460 -23.8556
  13 -7.0909 -28.0205 -7.6891 13.0586 -10.0201 -1.4194  6.7641  1.9205 -11.2443 -6.6140 -23.9114
  14 -47.8131 10.5684 -12.7653 -24.0748 -36.0662 -22.7344 -20.6484 -38.1531 -33.9956 40.1992  3.0201
  15 10.2289 10.9113 -22.2984  8.1313  9.2173 -21.4512 -28.8967 16.8583 -11.3543 -33.1441 18.2991
  16 -0.7176 -25.2966 24.9827 -7.1050 32.9001 37.8046 22.5735  0.3836 -43.8998 -2.3851  1.3416
  17 11.4643 11.6789 -1.4394 10.1886 -60.5835 -2.7176 30.1741  1.1799 24.1801 32.5238 30.6239
  18 13.8795 -11.1220  6.6344 18.0496 11.5333  2.4079 24.4159 -18.0129 15.6010 -9.9908 14.6355
  19 -33.0343 26.9158 24.3451 -4.0786 -18.4820 26.3692 -5.6475 14.4466 17.1786 14.7447  8.4608
  20 -47.5202 47.4862 -15.4416  9.0562  5.0524 18.6968  4.8506  0.6029  4.6382 16.2780 -27.8585
  21 18.3806 28.2167 -16.8600 -17.2798  3.8267 10.0100 -12.2591 -10.3818 -26.4762 -19.7494 11.1315
  22 36.5052  6.2463 -16.3791 23.7020 -18.5816 -24.7317  0.2049  4.7916 -27.8960 -17.1634 -31.8151
  23  6.2544 31.1913  7.9511 15.9494 11.4733 46.2227  9.3235 36.0933 19.0360 -14.2350 13.0131
  24 10.2869 15.8709 -2.9281 31.4078 -18.1225 -35.6961 27.8622 15.8729 -22.5738 -4.2280 18.0813
  25 -5.8484 -10.9462 -33.5723 -35.8814 -18.1986  6.5586 -7.0233 -8.0566  4.0203  0.8242 24.2263
  26 -6.0690 19.2043 -7.0131 -10.6525  1.5496 -6.1575  7.2259 -15.5002 -4.1974 -12.8973 -14.1222
  27 -4.7548 22.0410 -28.0477 -15.1189  3.8673 18.4058 -22.8789 -12.0213  4.3732 -12.4389 -17.4784
  28 -11.9674 -20.0112 48.4271  5.4630 -25.0394 26.7479 24.0122  2.9229 -35.3858 12.5712 -4.6025
  29 57.8985 -15.2808  1.9314  0.1467 -2.3405 -34.6830 40.3834 -9.0404 -12.2641 35.4024 -53.1492
  30 41.4542 -0.6291 34.2651 20.8356 11.4866 -23.3283 31.6871 -57.5126 -36.2706 -1.1556 11.7306
  31 -16.6869 14.0179 40.5216 -20.8782 -14.8347 -10.5708 54.5732 -9.3407 26.5311 34.7782 -20.6043
  32 -28.2022 -26.8661 -10.6777 -4.3408 -30.8663 -13.5553  1.1532 31.9528 -11.8528  0.5199  9.9264
  33 15.6866 -29.4186 -13.2432  9.6966 11.3731 -19.5648 -28.4809 -29.0740 -35.9006 -4.7740 26.6823
  34  4.8680 -33.3924 -15.1768  1.8215 15.6930 -14.8138 -25.0507 -18.8797  0.6776 -3.8831 36.2633
  35  5.5824 22.5743 -14.2397 21.8659 -7.2512 35.9792  0.6302 37.9160  4.4791 16.5297 -7.4190
  36  3.4995 -11.1965  5.3210 -25.2693 -22.4750 -2.7661 27.2476 13.9256 -1.0540 17.2152 -15.6029
  37 10.2453 -23.0112 15.4127 -15.5036 20.8372  2.3441 -14.4883 25.3200  4.7405 -8.0326 -56.7414
  38  1.9602 11.1685 -21.1364 37.1970 -16.9316 24.6716 -7.8480 28.1421  7.3166 -30.9556 28.7832
  39 26.4659 -9.5156 29.3533 15.6515  9.0391 11.8124 30.7732 -7.9755  9.5308 -3.5804  5.2685
  40 -1.7603 -2.0356 -10.9021 64.9563 44.5720 -10.4799 -28.7906 20.7682 16.3481 -23.7857 16.5765
  41 -26.9083 32.9446 -31.2160  8.3699 14.1328  6.3130 -9.6002 -3.8266  2.3767 15.6684  1.2589
  42 23.1488 -0.9809  8.3353 12.1725 -8.2198 -18.1526 27.2081 -8.5664 12.9734 -21.5714  4.8356
  43 -25.9543 14.1580 -15.1670 12.3672  0.8421 35.1064  4.9354 40.1617 46.1449 25.2678  8.7642
  44 -31.2922 -19.1855 -22.7139 -33.6119 -0.0888 -32.2614 20.2052 14.3841 -1.3368 -2.7284 -0.5894
  45 10.4734 -9.1819 21.5884 -8.6732 -33.0495 -18.0866 -3.6156 21.7976 -23.1190 -13.8925 12.5255
  46  2.7576 -26.2726 -14.4458 -7.2680 -4.4699 14.8900 -26.0051 -13.6595 36.1810 -14.3449 34.2163
  47 -15.2381 -13.0017 32.6438 -33.3324 28.3386 -6.0492  6.9489  1.9855 -9.1908 17.7280 -20.9267
  48 46.8900 31.8761 43.5169 -19.0819 24.9238 41.1229 -34.0995 -28.5886 -0.5051 -11.3234  6.6783
  49 17.6148 12.2056 11.8598  5.3083 -20.4543 15.6621 -10.8411 15.0352  7.5885 26.2484 57.5962
  50  9.3354 -32.1626 -14.9506 -24.0880 -2.6049 18.4229 47.7575 24.4635 31.1257  1.4357 17.4410
  51  7.8721 -12.7332 -6.2079 -4.9564 -1.0834 -10.0551 -25.4123  7.1966  5.1974  3.0070 -22.7642
  52  0.0132  5.2251 26.3719 -8.3290 23.1172 -18.0457  0.9782 12.9002 -4.6160  6.9401 23.2782
  53 -3.2629 18.7685 -13.0346  2.0657 -0.9029 14.9375 -9.7736 -5.2441  8.5666 14.0216 13.2101
  54 14.9224 22.6650 -11.6079 18.9770 16.6718 -11.5227 21.4925 -12.9679 -11.7115  0.6792 -17.6537
  55 13.4615 25.3698 -13.1694 33.9661 -6.1932 -19.5333 -7.6802 19.2113  2.6493 -21.8709 -19.9746
  56  5.7175  1.0987 34.1832 -10.5441  2.0268 -6.4087 -30.1014  6.6474 -10.2898 -12.1042 -26.2669
  57  2.5455 25.6308 -18.2317 14.5106  7.8113 -28.1153 -10.5937 -11.5700  5.8111 -6.9976 -1.5598
  58  4.6687 -3.9134 -24.2579 -21.6232  5.8356 -5.4139 -19.9611  6.4703 -15.3830 -2.0681 31.5155
  59  3.6177 -13.6133 -13.4615 -29.1716 11.2456 -24.4457  7.5174  6.0611  6.4172 33.5369 -30.0510
