# model = krumsiek11.txt 
# tmax = 160
# branching = True
# nrRealizations = 10
# noiseObs = 1.0
# noiseDyn = 0.001
# seed = 0
# it   Gata2   Gata1    Fog1    EKLF    Fli1     SCL   Cebpa    Pu.1    cJun  EgrNab    Gfi1 
   0  1.4341  0.1283  1.1041  1.9679  0.2360  2.4226  0.9847  0.7591  0.3529  0.7797  0.4291
   1  0.9101 -0.9042  0.2202 -0.0195 -0.1039 -0.9096  0.8170  0.3304  0.6215  0.3456 -0.1573
   2  1.2879  1.1960 -0.4322 -1.1872 -0.1089 -2.1403  0.0830  0.4215 -0.5572  0.0929  0.6012
   3  0.3637 -0.3332 -0.4960 -0.5051 -0.1860  0.2414  0.0781  0.3686 -0.2506  1.5532  1.6902
   4 -1.7065 -0.1866 -0.3759 -0.6440 -0.4187 -0.0583  0.9316  0.6553  0.3521 -0.2138  0.4252
   5 -0.8999 -1.0986  1.0790  0.7877 -0.8006  0.2219  1.1502  0.0161 -0.5942 -0.4510 -0.9697
   6  1.6400  0.4207 -0.4281 -0.3591 -0.2105  1.5492  0.9093 -0.4647  0.4812 -0.6218  1.6092
   7  1.2022  1.0761  1.2542 -3.2640  0.2500 -0.7046  2.0080  0.9040  0.7935  2.0303 -0.2251
   8  0.3015 -0.5025  0.8266 -0.7109 -2.1303 -1.5864  1.1801  1.1782  0.1706  0.3000 -1.2353
   9  0.3225  0.4834 -0.1329 -0.0018  0.3890 -0.2180 -0.1279 -2.0389  1.6846 -0.5399  0.4269
  10 -2.1895  0.1664 -0.3042  0.4435  0.0287 -0.3630  1.7814  1.7959 -0.9873  2.3215 -1.5594
  11  1.9730  0.9198  0.4274 -1.4023 -0.7418  0.9448  2.6774  0.0941  0.8804 -2.7289 -0.5307
  12  0.2298 -0.5478 -0.2474 -0.1456  1.6023  1.4470  0.4220 -0.7034  1.9827  0.0413 -0.9832
  13 -0.0890 -1.2735 -0.3579  0.6034 -0.4686 -0.0680  1.2127  0.3371 -0.3110 -0.2097 -0.9961
  14 -1.9949  0.5260 -0.5917 -1.1191 -1.6757 -1.0552 -0.0533 -1.5383 -1.3552  1.9721  0.2440
  15  0.6855  0.5458 -1.0341  0.3747  0.4297 -0.9933 -0.4351  1.0068 -0.2912 -1.4222  0.9465
  16  0.1647 -1.1338  1.1599 -0.3313  1.5316  1.7602  1.9563  0.2322 -1.7854  0.0217  0.1496
