# model = krumsiek11.txt 
# tmax = 160
# branching = True
# nrRealizations = 10
# noiseObs = 0.00046415888336127773
# noiseDyn = 0.001
# seed = 0
# it   Gata2   Gata1    Fog1    EKLF    Fli1     SCL   Cebpa    Pu.1    cJun  EgrNab    Gfi1 
   0  0.8035 -0.0004  0.0004  0.0013  0.0014  0.0022  0.7998  0.8017  0.0007  0.0013  0.0004
   1  0.7239  0.0011 -0.0002 -0.0010  0.0011  0.0017  0.8195  0.7254  0.0787  0.0078  0.0939
   2  0.6581  0.0018 -0.0012 -0.0032  0.0024  0.0001  0.8355  0.6622  0.1102  0.0239  0.1499
   3  0.5971  0.0036 -0.0011 -0.0066  0.0006 -0.0035  0.8531  0.5991  0.1269  0.0318  0.1709
   4  0.5386  0.0070 -0.0031 -0.0066  0.0009 -0.0070  0.8656  0.5470  0.1386  0.0378  0.1753
   5  0.4891  0.0105 -0.0018 -0.0057  0.0010 -0.0033  0.8760  0.4995  0.1493  0.0456  0.1742
   6  0.4454  0.0155 -0.0022 -0.0091  0.0002 -0.0049  0.8854  0.4511  0.1571  0.0486  0.1734
   7  0.4082  0.0136 -0.0008 -0.0136 -0.0023 -0.0080  0.8991  0.4098  0.1669  0.0565  0.1659
   8  0.3719  0.0153  0.0025 -0.0108 -0.0017 -0.0073  0.9063  0.3746  0.1731  0.0632  0.1616
   9  0.3424  0.0177  0.0026 -0.0083 -0.0043 -0.0018  0.9130  0.3422  0.1788  0.0696  0.1566
  10  0.3131  0.0179 -0.0003 -0.0098 -0.0042 -0.0041  0.9195  0.3182  0.1886  0.0795  0.1465
  11  0.2908  0.0219 -0.0005 -0.0076 -0.0037 -0.0014  0.9288  0.2933  0.1991  0.0831  0.1367
  12  0.2674  0.0252 -0.0022 -0.0074 -0.0023 -0.0007  0.9370  0.2744  0.2112  0.0942  0.1296
  13  0.2517  0.0278 -0.0012 -0.0026 -0.0039 -0.0022  0.9426  0.2600  0.2209  0.1019  0.1188
  14  0.2343  0.0374  0.0006 -0.0022 -0.0025 -0.0005  0.9488  0.2431  0.2328  0.1123  0.1089
  15  0.2212  0.0415  0.0005 -0.0026  0.0021  0.0020  0.9496  0.2356  0.2471  0.1212  0.1022
  16  0.2076  0.0418  0.0008 -0.0018  0.0054  0.0065  0.9532  0.2248  0.2635  0.1388  0.0916
  17  0.1988  0.0467 -0.0005  0.0014  0.0012  0.0080  0.9558  0.2187  0.2871  0.1579  0.0853
  18  0.1916  0.0529  0.0021  0.0039  0.0025  0.0143  0.9578  0.2113  0.3106  0.1754  0.0765
  19  0.1811  0.0619  0.0042  0.0062  0.0014  0.0185  0.9577  0.2037  0.3335  0.2003  0.0724
  20  0.1724  0.0676  0.0066  0.0068  0.0054  0.0222  0.9586  0.2051  0.3505  0.2230  0.0666
  21  0.1724  0.0721  0.0049  0.0109  0.0066  0.0262  0.9583  0.2023  0.3736  0.2428  0.0569
  22  0.1646  0.0764  0.0080  0.0182  0.0092  0.0283  0.9654  0.1982  0.3965  0.2722  0.0485
  23  0.1557  0.0833  0.0092  0.0154  0.0128  0.0384  0.9663  0.1982  0.4212  0.2962  0.0463
  24  0.1517  0.0835  0.0117  0.0175  0.0097  0.0377  0.9729  0.1939  0.4445  0.3235  0.0399
  25  0.1473  0.0819  0.0116  0.0166  0.0147  0.0431  0.9756  0.1896  0.4698  0.3503  0.0352
  26  0.1479  0.0846  0.0135  0.0183  0.0133  0.0467  0.9752  0.1896  0.4952  0.3771  0.0294
  27  0.1439  0.0875  0.0095  0.0180  0.0153  0.0548  0.9729  0.1891  0.5165  0.4034  0.0260
  28  0.1461  0.0888  0.0101  0.0232  0.0150  0.0556  0.9765  0.1906  0.5312  0.4326  0.0202
  29  0.1426  0.0916  0.0086  0.0255  0.0193  0.0586  0.9803  0.1885  0.5531  0.4589  0.0187
  30  0.1424  0.0919  0.0075  0.0277  0.0220  0.0624  0.9860  0.1879  0.5672  0.4825  0.0227
  31  0.1381  0.0955  0.0080  0.0301  0.0206  0.0685  0.9878  0.1902  0.5862  0.5032  0.0209
  32  0.1380  0.0987  0.0073  0.0264  0.0261  0.0727  0.9878  0.1923  0.6028  0.5224  0.0201
  33  0.1340  0.1005  0.0058  0.0239  0.0244  0.0746  0.9891  0.1879  0.6182  0.5402  0.0183
  34  0.1319  0.1002  0.0042  0.0278  0.0270  0.0790  0.9920  0.1887  0.6339  0.5545  0.0181
  35  0.1297  0.1040  0.0071  0.0305  0.0264  0.0825  0.9967  0.1863  0.6452  0.5757  0.0169
  36  0.1285  0.0999  0.0064  0.0294  0.0288  0.0867  0.9954  0.1844  0.6546  0.5921  0.0109
  37  0.1248  0.1013  0.0115  0.0351  0.0268  0.0902  0.9946  0.1892  0.6652  0.6066  0.0106
  38  0.1231  0.1059  0.0074  0.0361  0.0296  0.0977  0.9888  0.1864  0.6760  0.6203  0.0124
  39  0.1189  0.1038  0.0093  0.0360  0.0305  0.0998  0.9896  0.1859  0.6813  0.6299  0.0093
  40  0.1190  0.1035  0.0090  0.0336  0.0312  0.1014  0.9875  0.1857  0.6917  0.6411  0.0087
  41  0.1192  0.1042  0.0045  0.0334  0.0309  0.1003  0.9872  0.1869  0.7006  0.6516  0.0069
  42  0.1176  0.1055  0.0056  0.0342  0.0301  0.1037  0.9883  0.1887  0.7094  0.6585  0.0078
  43  0.1151  0.1069  0.0081  0.0352  0.0304  0.1039  0.9883  0.1914  0.7152  0.6710  0.0066
  44  0.1153  0.1093  0.0082  0.0334  0.0321  0.1071  0.9906  0.1890  0.7200  0.6801  0.0046
  45  0.1143  0.1094  0.0121  0.0360  0.0356  0.1084  0.9903  0.1889  0.7220  0.6880  0.0037
  46  0.1185  0.1075  0.0093  0.0349  0.0362  0.1058  0.9883  0.1906  0.7322  0.6986  0.0059
  47  0.1171  0.1043  0.0105  0.0363  0.0375  0.1059  0.9891  0.1884  0.7346  0.7058  0.0018
  48  0.1145  0.1029  0.0120  0.0404  0.0336  0.1100  0.9902  0.1899  0.7427  0.7129 -0.0010
  49  0.1124  0.1006  0.0076  0.0366  0.0361  0.1056  0.9902  0.1949  0.7474  0.7219 -0.0005
  50  0.1083  0.1026  0.0067  0.0341  0.0347  0.1056  0.9908  0.1987  0.7516  0.7302 -0.0019
  51  0.1104  0.1024  0.0077  0.0362  0.0340  0.1064  0.9890  0.1999  0.7534  0.7336 -0.0022
  52  0.1047  0.1012  0.0103  0.0362  0.0330  0.1054  0.9923  0.1995  0.7572  0.7390  0.0002
  53  0.1024  0.0995  0.0090  0.0367  0.0337  0.1079  0.9938  0.2039  0.7613  0.7457 -0.0037
  54  0.1008  0.0931  0.0112  0.0325  0.0340  0.1088  0.9905  0.2096  0.7632  0.7517 -0.0056
