# model = krumsiek11.txt 
# tmax = 160
# branching = True
# nrRealizations = 10
# noiseObs = 0.0001
# noiseDyn = 0.001
# seed = 0
# it   Gata2   Gata1    Fog1    EKLF    Fli1     SCL   Cebpa    Pu.1    cJun  EgrNab    Gfi1 
   0  0.8033 -0.0005  0.0000  0.0005  0.0014  0.0013  0.7997  0.8017  0.0006  0.0010  0.0002
   1  0.7239  0.0015 -0.0003 -0.0010  0.0011  0.0021  0.8195  0.7255  0.0785  0.0077  0.0940
   2  0.6579  0.0014 -0.0010 -0.0028  0.0024  0.0009  0.8358  0.6623  0.1104  0.0239  0.1497
   3  0.5972  0.0038 -0.0009 -0.0065  0.0007 -0.0036  0.8534  0.5992  0.1270  0.0313  0.1703
   4  0.5394  0.0071 -0.0030 -0.0064  0.0011 -0.0070  0.8656  0.5470  0.1385  0.0379  0.1752
   5  0.4896  0.0109 -0.0022 -0.0060  0.0013 -0.0034  0.8759  0.4997  0.1496  0.0458  0.1746
   6  0.4450  0.0153 -0.0020 -0.0090  0.0003 -0.0055  0.8854  0.4515  0.1570  0.0488  0.1728
   7  0.4079  0.0132 -0.0012 -0.0124 -0.0023 -0.0077  0.8987  0.4096  0.1667  0.0558  0.1660
   8  0.3719  0.0155  0.0022 -0.0106 -0.0009 -0.0068  0.9062  0.3743  0.1731  0.0631  0.1621
   9  0.3424  0.0175  0.0027 -0.0083 -0.0045 -0.0017  0.9134  0.3430  0.1782  0.0698  0.1565
  10  0.3140  0.0179 -0.0002 -0.0100 -0.0042 -0.0039  0.9192  0.3177  0.1890  0.0787  0.1471
  11  0.2902  0.0216 -0.0007 -0.0071 -0.0034 -0.0017  0.9282  0.2934  0.1989  0.0842  0.1370
  12  0.2674  0.0254 -0.0021 -0.0074 -0.0028 -0.0012  0.9372  0.2748  0.2105  0.0942  0.1300
  13  0.2518  0.0282 -0.0011 -0.0028 -0.0037 -0.0022  0.9425  0.2600  0.2211  0.1020  0.1192
  14  0.2351  0.0372  0.0008 -0.0018 -0.0019 -0.0001  0.9491  0.2437  0.2334  0.1116  0.1089
  15  0.2210  0.0414  0.0008 -0.0028  0.0020  0.0024  0.9501  0.2353  0.2473  0.1217  0.1019
  16  0.2077  0.0422  0.0004 -0.0016  0.0048  0.0059  0.9528  0.2248  0.2643  0.1389  0.0916
  17  0.1986  0.0465 -0.0005  0.0012  0.0022  0.0081  0.9553  0.2187  0.2867  0.1573  0.0847
  18  0.1914  0.0530  0.0020  0.0036  0.0023  0.0143  0.9574  0.2116  0.3104  0.1756  0.0762
  19  0.1816  0.0615  0.0038  0.0063  0.0017  0.0181  0.9579  0.2035  0.3332  0.2000  0.0723
  20  0.1732  0.0668  0.0068  0.0067  0.0053  0.0218  0.9585  0.2051  0.3505  0.2228  0.0671
  21  0.1721  0.0717  0.0052  0.0112  0.0066  0.0260  0.9585  0.2025  0.3741  0.2432  0.0567
  22  0.1640  0.0762  0.0083  0.0178  0.0095  0.0288  0.9655  0.1982  0.3969  0.2725  0.0490
  23  0.1556  0.0828  0.0090  0.0152  0.0126  0.0376  0.9662  0.1976  0.4209  0.2965  0.0461
  24  0.1515  0.0832  0.0117  0.0170  0.0100  0.0383  0.9725  0.1937  0.4449  0.3236  0.0396
  25  0.1474  0.0821  0.0122  0.0172  0.0150  0.0430  0.9757  0.1897  0.4697  0.3503  0.0348
  26  0.1480  0.0843  0.0136  0.0185  0.0133  0.0468  0.9751  0.1899  0.4953  0.3773  0.0296
  27  0.1440  0.0871  0.0100  0.0183  0.0152  0.0545  0.9733  0.1893  0.5165  0.4036  0.0263
  28  0.1463  0.0891  0.0093  0.0231  0.0155  0.0552  0.9761  0.1906  0.5318  0.4324  0.0202
  29  0.1416  0.0918  0.0085  0.0255  0.0193  0.0592  0.9797  0.1887  0.5533  0.4583  0.0196
  30  0.1417  0.0919  0.0069  0.0274  0.0219  0.0628  0.9854  0.1888  0.5678  0.4825  0.0225
  31  0.1384  0.0953  0.0073  0.0305  0.0209  0.0687  0.9869  0.1904  0.5857  0.5026  0.0212
  32  0.1385  0.0992  0.0074  0.0265  0.0266  0.0729  0.9878  0.1918  0.6031  0.5224  0.0199
  33  0.1338  0.1010  0.0060  0.0237  0.0242  0.0750  0.9896  0.1884  0.6188  0.5403  0.0179
  34  0.1319  0.1008  0.0045  0.0278  0.0267  0.0793  0.9924  0.1891  0.6339  0.5545  0.0174
  35  0.1296  0.1037  0.0073  0.0301  0.0265  0.0819  0.9967  0.1857  0.6451  0.5754  0.0170
  36  0.1284  0.1001  0.0063  0.0298  0.0292  0.0867  0.9950  0.1841  0.6546  0.5918  0.0111
  37  0.1247  0.1017  0.0112  0.0354  0.0265  0.0901  0.9948  0.1888  0.6651  0.6067  0.0116
  38  0.1231  0.1057  0.0078  0.0354  0.0299  0.0973  0.9889  0.1860  0.6759  0.6209  0.0119
  39  0.1185  0.1040  0.0088  0.0358  0.0304  0.0996  0.9890  0.1861  0.6812  0.6300  0.0093
  40  0.1191  0.1036  0.0092  0.0325  0.0305  0.1016  0.9880  0.1853  0.6914  0.6416  0.0084
  41  0.1197  0.1036  0.0050  0.0333  0.0307  0.1002  0.9873  0.1870  0.7005  0.6514  0.0069
  42  0.1172  0.1055  0.0055  0.0340  0.0302  0.1040  0.9878  0.1889  0.7092  0.6589  0.0077
  43  0.1156  0.1066  0.0084  0.0350  0.0303  0.1033  0.9882  0.1907  0.7144  0.6706  0.0065
  44  0.1158  0.1096  0.0085  0.0339  0.0321  0.1076  0.9903  0.1887  0.7201  0.6802  0.0046
  45  0.1141  0.1095  0.0117  0.0361  0.0362  0.1087  0.9904  0.1885  0.7224  0.6883  0.0035
  46  0.1185  0.1080  0.0096  0.0350  0.0363  0.1056  0.9887  0.1909  0.7316  0.6989  0.0053
  47  0.1173  0.1045  0.0100  0.0369  0.0371  0.1060  0.9890  0.1883  0.7347  0.7055  0.0022
  48  0.1137  0.1024  0.0112  0.0407  0.0331  0.1093  0.9908  0.1904  0.7427  0.7131 -0.0011
  49  0.1122  0.1003  0.0074  0.0365  0.0364  0.1054  0.9904  0.1946  0.7472  0.7214 -0.0014
  50  0.1082  0.1032  0.0070  0.0345  0.0347  0.1053  0.9900  0.1983  0.7511  0.7302 -0.0022
  51  0.1103  0.1026  0.0078  0.0363  0.0340  0.1066  0.9895  0.1997  0.7534  0.7336 -0.0018
  52  0.1047  0.1011  0.0098  0.0364  0.0326  0.1057  0.9923  0.1992  0.7573  0.7389 -0.0002
