# model = krumsiek11.txt 
# tmax = 160
# branching = True
# nrRealizations = 10
# noiseObs = 0.21544346900318823
# noiseDyn = 0.001
# seed = 0
# it   Gata2   Gata1    Fog1    EKLF    Fli1     SCL   Cebpa    Pu.1    cJun  EgrNab    Gfi1 
   0  0.9392  0.0273  0.2378  0.4242  0.0519  0.5228  0.8395  0.7926  0.0765  0.1687  0.0926
   1  0.7640 -0.1936  0.0472 -0.0050 -0.0215 -0.1943  0.8189  0.6404  0.1954  0.0805  0.0399
   2  0.7935  0.2587 -0.0939 -0.2579 -0.0215 -0.4602  0.6736  0.6105 -0.0334  0.0387  0.2469
   3  0.5469 -0.0688 -0.1075 -0.1139 -0.0395  0.0491  0.6864  0.5496  0.0457  0.3590  0.4977
   4  0.0557 -0.0346 -0.0833 -0.1437 -0.0893 -0.0181  0.8798  0.5703  0.1845 -0.0163  0.2291
   5  0.1904 -0.2280  0.2306  0.1649 -0.1714  0.0451  0.9350  0.3956 -0.0106 -0.0612 -0.0719
   6  0.7024  0.1026 -0.0938 -0.0844 -0.0451  0.3293  0.8905  0.2542  0.2268 -0.0956  0.4822
   7  0.5790  0.2421  0.2691 -0.7127  0.0520 -0.1578  1.1377  0.5161  0.3017  0.4810  0.0818
   8  0.3568 -0.0960  0.1798 -0.1614 -0.4595 -0.3470  0.9652  0.5474  0.1725  0.1141 -0.1388
   9  0.3381  0.1179 -0.0265 -0.0069  0.0803 -0.0483  0.6891 -0.1700  0.5026 -0.0615  0.2148
  10 -0.2252  0.0499 -0.0656  0.0877  0.0029 -0.0812  1.1049  0.6360 -0.0643  0.5617 -0.2204
  11  0.6526  0.2150  0.0915 -0.3076 -0.1624  0.2021  1.3049  0.2505  0.3456 -0.5217 -0.0068
  12  0.2593 -0.0980 -0.0549 -0.0371  0.3428  0.3107  0.8263  0.0641  0.5922  0.0828 -0.1098
  13  0.1784 -0.2521 -0.0779  0.1277 -0.1039 -0.0164  1.0007  0.2766  0.1065  0.0349 -0.1210
  14 -0.2452  0.1424 -0.1268 -0.2424 -0.3624 -0.2273  0.7332 -0.1401 -0.1087  0.5123  0.1380
  15  0.3211  0.1500 -0.2221  0.0785  0.0941 -0.2120  0.6518  0.4015  0.1313 -0.2108  0.2838
  16  0.1984 -0.2111  0.2501 -0.0726  0.3336  0.3837  1.1689  0.2264 -0.1772  0.1137  0.1040
  17  0.3112  0.1627 -0.0149  0.1031 -0.6034 -0.0192  1.2473  0.2283  0.5255  0.4808  0.3900
  18  0.3282 -0.0587  0.0683  0.1839  0.1176  0.0382  1.1919  0.0294  0.4632  0.0740  0.2217
  19 -0.1504  0.3299  0.2471 -0.0346 -0.1830  0.2815  0.8918  0.3459  0.5016  0.3454  0.1561
  20 -0.3035  0.5408 -0.1476  0.0971  0.0557  0.2085  0.9974  0.2090  0.3933  0.3832 -0.2120
  21  0.3541  0.3530 -0.1634 -0.1617  0.0448  0.1258  0.8264  0.0967  0.1057  0.0434  0.1674
  22  0.5272  0.1379 -0.1555  0.2545 -0.1763 -0.2187  0.9579  0.2441  0.1141  0.0982 -0.2694
  23  0.2166  0.3937  0.0884  0.1744  0.1272  0.4993  1.0497  0.5564  0.6069  0.1512  0.1757
  24  0.2528  0.2410 -0.0177  0.3308 -0.1713 -0.3189  1.2413  0.3504  0.2148  0.2781  0.2199
  25  0.0875 -0.0282 -0.3235 -0.3416 -0.1671  0.1081  0.8957  0.1073  0.5052  0.3550  0.2766
  26  0.0858  0.2754 -0.0566 -0.0881  0.0287 -0.0152  1.0376  0.0331  0.4484  0.2446 -0.1119
  27  0.0950  0.3065 -0.2705 -0.1330  0.0537  0.2379  0.7349  0.0672  0.5550  0.2752 -0.1487
  28  0.0252 -0.1118  0.4932  0.0775 -0.2350  0.3220  1.2063  0.2179  0.1728  0.5537 -0.0260
  29  0.7189 -0.0618  0.0277  0.0267 -0.0043 -0.2880  1.3735  0.0964  0.4252  0.8075 -0.5119
  30  0.5546  0.0847  0.3493  0.2354  0.1365 -0.1710  1.2923 -0.3879  0.1996  0.4662  0.1395
  31 -0.0298  0.2345  0.4123 -0.1785 -0.1276 -0.0376  1.5225  0.0951  0.8451  0.8452 -0.1849
  32 -0.1448 -0.1704 -0.0994 -0.0172 -0.2822 -0.0633  0.9895  0.5092  0.4786  0.5224  0.1189
  33  0.2892 -0.1941 -0.1264  0.1204  0.1376 -0.1213  0.6950 -0.1041  0.2538  0.4872  0.2844
  34  0.1792 -0.2340 -0.1472  0.0457  0.1833 -0.0696  0.7321 -0.0015  0.6343  0.5102  0.3797
  35  0.1841  0.3283 -0.1351  0.2484 -0.0462  0.4407  0.9930  0.5628  0.6834  0.7349 -0.0573
  36  0.1621 -0.0128  0.0594 -0.2230 -0.1957  0.0582  1.2574  0.3215  0.6375  0.7579 -0.1449
  37  0.2258 -0.1293  0.1652 -0.1199  0.2345  0.1127  0.8401  0.4400  0.7059  0.5204 -0.5557
  38  0.1414  0.2163 -0.2036  0.4069 -0.1396  0.3429  0.9006  0.4654  0.7422  0.3053  0.2995
  39  0.3819  0.0078  0.3021  0.1919  0.1204  0.2167  1.2868  0.1045  0.7696  0.5879  0.0618
  40  0.1003  0.0822 -0.0999  0.6814  0.4757 -0.0042  0.6903  0.3911  0.8479  0.3974  0.1740
  41 -0.1505  0.4319 -0.3070  0.1166  0.1716  0.1623  0.8815  0.1469  0.7173  0.8015  0.0194
  42  0.3474  0.0946  0.0888  0.1553 -0.0522 -0.0785  1.2499  0.1014  0.8317  0.4367  0.0559
  43 -0.1450  0.2471 -0.1433  0.1582  0.0385  0.4532  1.0277  0.5902  1.1685  0.9164  0.0940
  44 -0.1981 -0.0832 -0.2186 -0.3024  0.0309 -0.2159  1.1823  0.3306  0.6995  0.6461 -0.0014
