# model = krumsiek11.txt 
# tmax = 160
# branching = True
# nrRealizations = 10
# noiseObs = 4.641588833612772
# noiseDyn = 0.001
# seed = 0
# it   Gata2   Gata1    Fog1    EKLF    Fli1     SCL   Cebpa    Pu.1    cJun  EgrNab    Gfi1 
   0  3.7317  0.5974  5.1253  9.1330  1.0908 11.2409  1.6587  0.6039  1.6358  3.6157  1.9911
   1  1.5885 -4.2025  1.0233 -0.0871 -0.4864 -4.2298  0.8079 -1.1085  2.5994  1.5761 -1.0726
   2  3.5823  5.5465 -2.0025 -5.5008 -0.5145 -9.9387 -2.6587 -0.4555 -2.9885  0.3441  2.2457
   3 -0.4863 -1.5602 -2.2988 -2.3212 -0.8660  1.1335 -2.7453 -0.4711 -1.6257  7.0959  7.2256
   4 -9.8860 -0.8919 -1.7343 -2.9663 -1.9477 -0.2450  1.1720  1.0499  1.1300 -1.1303  1.3356
   5 -5.9603 -5.1394  5.0167  3.6784 -3.7209  1.0422  2.1494 -1.7450 -3.3028 -2.2606 -5.1369
   6  5.9922  1.8972 -1.9798 -1.6342 -0.9784  7.2116  0.9963 -3.8014  1.6621 -3.0641  6.8402
   7  4.0951  4.9471  5.8262 -15.1063  1.1689 -3.2428  6.0481  2.7045  3.0763  9.2213 -1.6498
   8  0.0451 -2.3890  3.8290 -3.2614 -9.8853 -7.3395  2.1779  4.1062  0.1618  1.1627 -6.3248
   9  0.2499  2.1800 -0.6269  0.0219  1.8218 -1.0056 -3.9200 -10.7138  7.1706 -2.7604  1.4115
  10 -11.3074  0.7073 -1.4113  2.0951  0.1484 -1.6706  4.9213  7.1796 -5.2714 10.4896 -7.7745
  11  8.1016  4.1908  1.9863 -6.4838 -3.4310  4.3919  9.0479 -0.6316  3.3627 -12.9741 -2.9624
  12  0.0926 -2.6353 -1.1409 -0.6488  7.4481  6.7210 -1.4545 -4.2661  8.4371 -0.1515 -5.0375
